image,width,height,used_by_pages
_ccclip1812.png,748,95,1
_ccclip1813.png,750,92,1
_ccclip1814.png,748,96,1
_ccclip1815.png,750,97,1
_ccclip1816.png,750,90,1
_ccclip1817.png,731,87,1
_ccclip1818.png,272,77,1
_ccclip1819.png,511,93,1
_ccclip1820.png,786,567,1
_ccclip1821.png,449,510,1
_ccclip1822.png,449,510,1
_ccclip1823.png,449,510,1
_ccclip1824.png,600,600,1
_cemclip0001.png,476,36,1
_cemclip0002.png,469,134,1
_cemclip0003.png,340,627,1
_cemclip0004.png,884,662,1
_cemclip0005.png,900,701,1
_cemclip0006.png,262,89,1
_cemclip0007.png,262,88,1
_cemclip0008.png,261,90,1
_cemclip0009.png,264,84,1
_cemclip0010.png,266,94,1
_cemclip0011.png,271,308,1
_cemclip0012.png,117,69,1
_cemclip0013.png,114,67,1
_cemclip0014.png,116,68,1
_cemclip0015.png,269,35,1
_cemclip0016_zoom70.png,619,463,1
_cemclip0017_zoom70.png,619,463,1
_cemclip0018.png,509,390,1
_cemclip0019.png,608,395,1
_cemclip0020.png,545,334,1
_cemclip0021.png,526,330,1
_cemclip0022.png,242,355,1
_cemclip0023.png,281,335,1
_cemclip0024.png,19,27,1
_cemclip0025.png,19,27,1
_cemclip0026.png,26,29,1
_cemclip0027.png,256,380,1
_cemclip0028.png,281,336,1
_cemclip0029.png,381,266,1
_cemclip0030.png,606,443,1
_cemclip0031.png,522,379,1
_cemclip0032.png,554,380,1
_cemclip0033.png,900,701,1
_cemclip0034.png,606,492,1
_cemclip0035.png,475,336,1
_cemclip0036.png,486,296,1
_cemclip0037.png,526,443,1
_cemclip0038.png,19,27,1
_cemclip0039.png,19,27,1
_cemclip0040.png,26,29,1
_cemclip0041.png,209,407,1
_cemclip0042.png,328,189,1
_cemclip0044.png,260,329,1
_cemclip0046.png,955,479,1
_cemclip0047.png,597,495,1
_cemclip0049.png,172,62,1
_cemclip0050.png,20,19,1
_cemclip0051.png,20,18,1
_cemclip0052.png,531,328,1
_cemclip0053.png,791,492,1
_cemclip0054.png,1231,67,1
_cemclip0055.png,1061,67,1
_cemclip0056.png,1060,67,1
_cemclip0057.png,526,358,1
_cemclip0058_zoom50.png,442,330,1
_cemclip0059.png,780,490,1
_cemclip0060.png,386,280,1
_cemclip0061.png,282,307,1
_cemclip0062.png,512,500,1
_cemclip0063.png,653,262,1
_cemclip0064.png,275,201,1
_cemclip0065.png,864,569,1
_cemclip0066.png,860,570,1
_cemclip0067.png,1160,589,1
_cemclip0068.png,287,323,1
_cemclip0069.png,401,416,1
_cemclip0070.png,277,69,1
_cemclip0071.png,282,199,1
_cemclip0072.png,275,307,1
_cemclip0073.png,548,587,1
_cemclip0074_zoom50.png,566,344,1
_cemclip0075.png,603,535,1
_cemclip0076.png,1106,143,1
_cemclip0077.png,603,535,1
_chclip0001.png,485,346,2
_chclip0002.png,666,423,1
_chclip0003.png,666,398,1
_chclip0004.png,666,398,1
_chclip0005.png,666,398,1
_chclip0006.png,656,441,1
_chclip0007.png,666,398,1
_chclip0008.png,962,438,1
_chclip0009.png,940,438,1
_chclip0010.png,941,438,1
_chclip0011.png,941,438,1
_chclip0012.png,863,471,1
_chclip0017.png,1053,586,1
_chclip0018.png,666,347,1
_chclip0020.png,666,370,1
_chclip0021.png,873,438,1
_chclip0022.png,738,515,1
_chclip0023.png,643,515,1
_chclip0024.png,639,515,1
_chclip0025.png,770,471,1
_chclip0026.png,1083,575,1
_chclip0027.png,1145,515,1
_ciclip0001.png,458,64,1
_ciclip0002.png,902,154,1
_ciclip0003.png,483,346,1
_ciclip0004.png,401,202,1
_ciclip0005.png,884,662,1
_ciclip0006.png,244,153,1
_ciclip0007.png,242,355,1
_ciclip0008.png,289,332,1
_ciclip0009.png,19,27,2
_ciclip0010.png,26,29,1
_ciclip0011.png,256,380,1
_ciclip0012.png,283,334,1
_ciclip0013.png,303,268,1
_ciclip0014.png,884,661,1
_ciclip0015.png,603,521,1
_ciclip0016.png,867,608,1
_ciclip0017.png,23,24,1
_ciclip0018.png,884,661,1
_ciclip0019.png,1166,662,1
_ciclip0020.png,545,165,1
_ciclip0021.png,1048,661,1
_ciclip0022.png,188,47,1
_ciclip0023.png,20,19,1
_ciclip0024.png,20,18,1
_ciclip0025.png,832,652,1
_ciclip0026.png,867,608,1
_ciclip0027.png,884,662,1
_ciclip0028.png,253,284,1
_ciclip0029.png,835,652,1
_cmclip0002.png,1105,527,1
_cmclip0003.png,891,586,1
_cmclip0004.png,1082,292,1
_cmclip0005.png,891,313,1
_cmclip0006.png,760,436,1
_cmclip0007.png,514,436,1
_cmclip0009.png,1082,352,1
_cmclip0010.png,1093,510,1
_cmclip0012.png,989,441,1
_cmclip0014.png,1082,473,1
_cmclip0015.png,1183,589,1
_cmclip0016.png,966,362,1
_cmclip0017.png,691,314,1
_cmclip0018.png,774,373,1
_cmclip0020.png,962,342,1
_cmclip0021.png,962,443,1
_cmclip0022.png,876,318,1
_cmclip0023.png,877,316,1
_cmclip0024.png,915,318,1
_cmclip0025.png,1137,422,1
_cmclip0026.png,938,321,1
_cmclip0063.png,645,701,1
_cmclip0065.png,33,33,1
_cmclip0078.png,1231,344,1
_cmclip0079.png,1231,344,1
_cmclip0081.png,376,212,1
_cmclip0082.png,534,229,1
_cmclip0083.png,645,701,1
_cmclip0085.png,944,317,1
_cmclip0086.png,359,139,1
_cmclip0087.png,401,152,1
_cmclip0090.png,829,632,1
_cmclip0091.png,313,340,1
_cmclip0092.png,498,285,1
_cmclip0093.png,297,152,1
_cmclip0094.png,1082,296,1
_cmclip0095.png,772,839,1
_cmclip0097.png,186,229,1
_cmclip0099.png,675,525,1
_cmclip0100.png,688,525,1
_cmclip0101.png,891,233,1
_cmclip0102.png,376,137,1
_cmclip0103.png,422,525,1
_cmclip0106.png,1143,525,1
_cmclip0107.png,746,357,1
_cmclip0108.png,746,357,1
_cmclip0109.png,826,839,1
_cmclip0110.png,610,584,1
_cmclip0111.png,453,584,1
_cmclip0112.png,533,839,1
_cmclip0113.png,35,38,1
_cmclip0114.png,1273,363,1
_cmclip0115.png,963,482,1
_cmclip0116.png,942,293,1
_cmclip0117.png,514,436,1
_cmclip0118.png,645,300,1
_cmclip0119.png,648,299,1
_cmclip0120.png,647,300,1
_cmclip0121.png,413,211,1
_co2clip0001.png,322,247,1
_co2clip0002.png,755,319,1
_co2clip0003.png,755,312,1
_co2clip0004.png,980,312,1
_co2clip0005.png,755,312,1
_co2clip0006_zoom50.png,664,588,1
_coclip0001_zoom75.png,702,664,1
_coclip0002.png,910,660,1
_coclip0003_zoom75.png,702,645,1
_coclip0004.png,545,191,1
_coclip0005.png,925,191,1
_coclip0006.png,503,194,1
_coclip0007.png,986,600,1
_coclip0008.png,633,505,1
_coclip0009.png,633,505,1
_coclip0010.png,633,505,1
_coclip0011.png,444,513,1
_coclip0012.png,633,505,1
_coclip0013_zoom75.png,702,645,1
_coclip0014.png,843,193,1
_coclip0015.png,844,195,1
_coclip0016.png,1113,769,1
_coclip0017.png,633,505,1
_coclip0018.png,633,505,1
_coclip0019.png,320,513,1
_coclip0020_zoom75.png,858,450,1
_cpclip0001.png,1077,241,1
_cpclip00010.png,574,516,1
_cpclip00011.png,834,757,1
_cpclip00014.png,286,53,1
_cpclip00018.png,674,559,1
_cpclip00019.png,794,573,1
_cpclip00020.png,599,503,1
_cpclip0006.png,593,516,1
_cpclip0007.png,596,521,1
_cpclip0008.png,574,516,1
